account_id,account_number,owner_person_id,bank,account_type
A-0099,LQTY2584907342031,P-0090,Axis,Current
A-0100,SXOV7748675951418,P-0200,PNB,Current
A-0101,NXIV8230882958684,P-0618,Axis,Savings
A-0102,DSNF3326058694276,P-0370,PNB,Savings
A-0103,PJQG1730662931518,P-0438,ICICI,Current
A-0104,ZYCO8824265594698,P-0382,SBI,Current
A-0105,SANE3272371798902,P-0354,ICICI,Current
A-0106,FHPV9006548708477,P-0506,Axis,Savings
A-0107,SKWI1767553981889,P-0221,BOB,Current
A-0108,VBOX3781591579089,P-0426,PNB,Current
A-0109,JLQT6268384887638,P-0168,BOB,Current
A-0110,AEAV7612396121905,P-0425,HDFC,Savings
A-0111,XCRZ8129886182070,P-0469,HDFC,Current
A-0112,MMWY9010792372982,P-0487,Axis,Current
A-0113,MRTH3486497035067,P-0068,Axis,Current
A-0114,KOQT6833557077312,P-0091,SBI,Current
A-0115,ZVGD5550570521879,P-0280,PNB,Savings
A-0116,TVXH8444045883114,P-0570,PNB,Savings
A-0117,CJPB1235036871568,P-0205,HDFC,Current
A-0118,TCXB9779780234456,P-0297,Axis,Current
A-0119,QJIN7940366401632,P-0044,ICICI,Current
A-0120,TKPG7831597572927,P-0506,Axis,Current
A-0121,HDQM8302915854233,P-0230,SBI,Savings
A-0122,FJCM5185483966073,P-0158,ICICI,Current
A-0123,JJZM7462159584174,P-0484,SBI,Current
A-0124,XTDN1705022181698,P-0428,HDFC,Current
A-0125,CUJD3447609483774,P-0239,SBI,Savings
A-0126,AXES2864330265099,P-0284,PNB,Savings
A-0127,MWFD8366771966661,P-0614,BOB,Current
A-0128,AEKX6342022234998,P-0596,PNB,Current
A-0129,BCGX7683675901779,P-0265,BOB,Current
A-0130,CKEU4461440923351,P-0123,ICICI,Savings
A-0131,OJML6426018637263,P-0266,HDFC,Savings
A-0132,CSSZ5695592277641,P-0150,ICICI,Current
A-0133,JTBA3850255134448,P-0139,ICICI,Savings
A-0134,MPEF8839047331454,P-0055,ICICI,Current
A-0135,MXXW1574932511497,P-0430,BOB,Current
A-0136,QQOS5312040954377,P-0050,ICICI,Current
A-0137,UNND8308580018731,P-0543,BOB,Savings
A-0138,JGSC5114367862107,P-0527,HDFC,Savings
A-0139,ZRCR7109685642570,P-0097,Axis,Savings
A-0140,NURU0269331542306,P-0557,ICICI,Current
A-0141,BBFG0286550522411,P-0309,ICICI,Current
A-0142,JZEA6670151459920,P-0099,Axis,Current
A-0143,DMNH3822224005392,P-0148,SBI,Savings
A-0144,FVFB5620190113484,P-0531,ICICI,Current
A-0145,GHSD3325286132394,P-0497,PNB,Current
A-0146,KNVJ5234286449760,P-0167,SBI,Savings
A-0147,FISQ6634209536773,P-0409,Axis,Savings
A-0148,IVSR5297356152665,P-0193,Axis,Savings
A-0149,KSCI7625380966414,P-0428,PNB,Savings
A-0150,PZLH3695247466535,P-0120,HDFC,Savings
A-0151,GRSW6298532436792,P-0492,ICICI,Current
A-0152,JDKP1276383543468,P-0372,HDFC,Current
A-0153,KQXN3906168249793,P-0612,Axis,Current
A-0154,TTYY8161538116837,P-0177,BOB,Current
A-0155,CAHA7372607201489,P-0030,BOB,Savings
A-0156,NPRW0826493121463,P-0228,HDFC,Savings
A-0157,SYJZ7625429264563,P-0233,ICICI,Savings
A-0158,GTDO2994036948112,P-0215,HDFC,Savings
A-0159,UNWM4971967068335,P-0436,BOB,Savings
A-0160,HTDB1612590163994,P-0080,SBI,Current
A-0161,XSBY1333443767348,P-0442,SBI,Savings
A-0162,ZDJB9841016793014,P-0111,SBI,Savings
A-0163,RCDM0499100420288,P-0481,SBI,Current
A-0164,NNDM8019903421348,P-0045,SBI,Current
A-0165,XKJR4203531607917,P-0011,SBI,Savings
A-0166,SDGR6015711713219,P-0299,HDFC,Savings
A-0167,VJAE4702881411287,P-0190,BOB,Current
A-0168,UJKE7193678576463,P-0030,SBI,Savings
A-0169,TCHR1074916194232,P-0285,Axis,Current
A-0170,DLJB1315350696261,P-0361,HDFC,Savings
A-0171,NRIL5252741025471,P-0518,Axis,Savings
A-0172,WOSR9948856694899,P-0102,Axis,Savings
A-0173,HBAL1956756355842,P-0542,HDFC,Savings
A-0174,FOUX1726625650460,P-0289,HDFC,Savings
A-0175,PAVB1441306862408,P-0102,HDFC,Current
A-0176,OYZD0066890417282,P-0376,BOB,Savings
A-0177,APNF3811522328222,P-0451,BOB,Savings
A-0178,REJA8475283599940,P-0186,ICICI,Current
A-0179,AICB8479135113505,P-0435,HDFC,Savings
A-0180,GKYO2289206415780,P-0418,SBI,Current
A-0181,TYOQ3028010419453,P-0127,PNB,Savings
A-0182,JCTK2814478674280,P-0533,HDFC,Current
A-0183,FCUQ8930635780378,P-0370,BOB,Current
A-0184,SYDV2139743699055,P-0256,BOB,Savings
A-0185,RKLP5994084290696,P-0085,ICICI,Current
A-0186,SUBW4528986061065,P-0119,PNB,Current
A-0187,NOHH7457016527613,P-0468,Axis,Current
A-0188,NVRC4980253084376,P-0455,HDFC,Current
A-0189,TTFU9644477250842,P-0298,PNB,Savings
A-0190,HXEI2348004172415,P-0072,PNB,Current
A-0191,KHMT1585574906279,P-0184,SBI,Current
A-0192,ZMAF4257033329594,P-0108,PNB,Current
A-0193,LFHC5828630402966,P-0536,BOB,Savings
A-0194,FWTT1721742922041,P-0123,HDFC,Current
A-0195,NORY2153926693706,P-0411,BOB,Savings
A-0196,HELY0313928048502,P-0173,SBI,Current
A-0197,EBND9019333593797,P-0204,ICICI,Savings
A-0198,CTBA0029561622564,P-0391,PNB,Savings
A-0199,WPCQ5594079923045,P-0239,PNB,Current
A-0200,XZGE3167781456474,P-0286,BOB,Current
A-0201,HOAZ1945391177666,P-0410,ICICI,Current
A-0202,KBLF7612092815780,P-0618,PNB,Current
A-0203,NVCZ9022311678706,P-0524,ICICI,Savings
A-0204,UPUN3532237185921,P-0466,SBI,Savings
A-0205,EMUQ4856371142943,P-0257,PNB,Current
A-0206,ABAX3753989231324,P-0237,BOB,Savings
A-0207,NLTV8669327841783,P-0031,SBI,Savings
A-0208,ZVPN5915382011406,P-0070,PNB,Savings
A-0209,ZLFW6642673512724,P-0184,PNB,Current
A-0210,KLHZ3756569764878,P-0157,ICICI,Savings
A-0211,JSNF2494510462506,P-0079,BOB,Current
A-0212,SESN5685120627672,P-0478,HDFC,Current
A-0213,THXK0979344212914,P-0510,PNB,Current
A-0214,NZVL0223477804579,P-0556,ICICI,Savings
A-0215,OELD8407033982147,P-0033,PNB,Savings
A-0216,RVEY3372094516767,P-0393,PNB,Current
A-0217,AMGN3286301122008,P-0386,PNB,Current
A-0218,JQIE6483336796082,P-0037,SBI,Savings
A-0219,WRTM7136054946920,P-0571,BOB,Current
A-0220,RLNI9013249519350,P-0169,PNB,Current
A-0221,UACD5461758080388,P-0138,ICICI,Current
A-0222,SUYX0441040431566,P-0500,SBI,Current
A-0223,QKCV3538148374755,P-0568,BOB,Current
A-0224,QBGB9016856471778,P-0488,Axis,Savings
A-0225,IBCT0271698837161,P-0519,SBI,Current
A-0226,DLQM6861199767598,P-0270,PNB,Current
A-0227,GVGF6170505835345,P-0632,BOB,Current
A-0228,URCS5657285353399,P-0292,ICICI,Savings
A-0229,YYQF4266217758015,P-0029,Axis,Savings
A-0230,RINN8793030285327,P-0132,ICICI,Current
A-0231,FPYM6983451502528,P-0517,SBI,Current
A-0232,LJND3087308972073,P-0390,SBI,Current
A-0233,RWFP7771184252786,P-0354,ICICI,Current
A-0234,GAYT0071210242344,P-0360,SBI,Savings
A-0235,PGVB5777196199716,P-0254,HDFC,Current
A-0236,LWTN5667640996833,P-0607,SBI,Savings
A-0237,JYIA0952242653793,P-0313,SBI,Current
A-0238,WFEC9143907054736,P-0174,SBI,Current
A-0239,BYDK7911501016260,P-0039,PNB,Current
A-0240,AQBE6589347597833,P-0582,Axis,Current
A-0241,KJQQ3571921496791,P-0274,SBI,Current
A-0242,IMHW8664320317266,P-0603,SBI,Current
A-0243,LEYQ2468549272400,P-0387,Axis,Current
A-0244,ZBWX2086014605190,P-0331,Axis,Savings
A-0245,RYKI3271630335636,P-0501,SBI,Savings
A-0246,TWYG0100090899318,P-0345,PNB,Current
A-0247,OQDX0480283541589,P-0171,Axis,Current
A-0248,YFTV0930437661366,P-0373,PNB,Savings
A-0249,FRUA8122681594747,P-0509,BOB,Savings
A-0250,ALWH1105833096739,P-0549,HDFC,Current
A-0251,OTQJ2189142693765,P-0272,SBI,Current
A-0252,UAYX1676718776288,P-0588,PNB,Savings
A-0253,ZGNH6885016276292,P-0640,BOB,Savings
A-0254,FNNN7880937616522,P-0593,SBI,Current
A-0255,RUTV8907499359812,P-0280,SBI,Current
A-0256,KKTP7726597640838,P-0438,HDFC,Current
A-0257,LXRA5014171657893,P-0079,BOB,Current
A-0258,SCES5651887114860,P-0517,ICICI,Current
A-0259,BULY0092449287875,P-0553,ICICI,Savings
A-0260,UOBU3029301125018,P-0425,PNB,Current
A-0261,MUBP4290695222336,P-0640,Axis,Current
A-0262,TGDU8062007302426,P-0561,HDFC,Savings
A-0263,UWNE4975374057144,P-0643,BOB,Savings
A-0264,MVTL6740687354453,P-0591,PNB,Savings
A-0265,IKXC4668865834834,P-0479,ICICI,Current
A-0266,RXHV5862673664853,P-0580,BOB,Savings
A-0267,EAVZ7758708943269,P-0535,HDFC,Current
A-0268,RGVU4436958050450,P-0474,HDFC,Savings
A-0269,LXBT2846720073429,P-0211,BOB,Current
A-0270,YGSB7737295450380,P-0446,PNB,Current
A-0271,CNEK8515020450281,P-0066,BOB,Savings
A-0272,JGKH1279433795311,P-0423,ICICI,Current
A-0273,DEHV5904265274286,P-0165,ICICI,Savings
A-0274,VMFZ5108573838554,P-0416,HDFC,Savings
A-0275,KCIU6091935117455,P-0401,HDFC,Savings
A-0276,KYVH7062728167337,P-0474,ICICI,Current
A-0277,IMDE1575626412608,P-0498,Axis,Current
A-0278,IQDQ7620990693196,P-0433,BOB,Savings
A-0279,HAZH9951670450599,P-0207,HDFC,Current
A-0280,REEV6731234388804,P-0140,SBI,Current
A-0281,QLCV4202593645028,P-0285,BOB,Savings
A-0282,FZXH1342755767299,P-0044,BOB,Current
A-0283,CDWK4904431834369,P-0021,SBI,Savings
A-0284,LHZC0297711506291,P-0322,Axis,Current
A-0285,VOTE6517328162910,P-0066,PNB,Current
A-0286,XQPH9221983691573,P-0093,PNB,Savings
A-0287,VONY7105298770745,P-0242,SBI,Savings
A-0288,TXTX1530445002026,P-0535,BOB,Current
A-0289,XZQH8789034502958,P-0509,SBI,Savings
A-0290,MOYM0304093467541,P-0615,SBI,Current
A-0291,RWXE3688101382721,P-0338,Axis,Current
A-0292,BYKD3346018422013,P-0539,PNB,Savings
A-0293,RVRF5320831681636,P-0148,SBI,Savings
A-0294,AHRS1736907894767,P-0220,ICICI,Current
A-0295,FBBA5214107071634,P-0443,ICICI,Savings
A-0296,RLZA8951237085119,P-0503,Axis,Current
A-0297,YCTI4545697296556,P-0116,ICICI,Current
A-0298,DTFO6713771886263,P-0487,BOB,Savings
A-0299,SLMD2667830557371,P-0285,HDFC,Current
A-0300,GRQP4022346144662,P-0487,BOB,Current
A-0301,PNGX3041176142152,P-0316,SBI,Savings
A-0302,JQHD9686364704656,P-0056,BOB,Savings
A-0303,RSMS8703688300483,P-0260,Axis,Current
A-0304,PVTU3631592291270,P-0317,BOB,Current
A-0305,MKTH4104062911872,P-0125,Axis,Savings
A-0306,EQFI7183018179607,P-0454,PNB,Savings
A-0307,KVOQ9849749979905,P-0403,ICICI,Current
A-0308,FEDP1148656581898,P-0093,HDFC,Current
A-0309,VDAN1735631631297,P-0216,HDFC,Current
A-0310,LLOF6169496378811,P-0647,ICICI,Current
A-0311,SGQW9990682013071,P-0035,ICICI,Savings
A-0312,NPLG2163361317985,P-0582,PNB,Current
A-0313,ISBY0490372954585,P-0162,BOB,Current
A-0314,QHKW6399812743922,P-0103,HDFC,Current
A-0315,KYKD7419258147621,P-0519,SBI,Current
A-0316,WFWG6018639945413,P-0210,Axis,Current
A-0317,XYRI5315630930796,P-0465,BOB,Savings
A-0318,QVXK9096459872408,P-0054,BOB,Savings
A-0319,XTTF1773516681133,P-0646,PNB,Savings
A-0320,TPGN7072173402422,P-0004,PNB,Savings
A-0321,UFXI1983063236540,P-0644,ICICI,Current
A-0322,DRDU4442484202435,P-0590,SBI,Savings
A-0323,AWTJ7651186156409,P-0162,HDFC,Savings
A-0324,ZSJD4753989137054,P-0609,BOB,Current
A-0325,UEJK1908261103565,P-0328,PNB,Current
A-0326,TIFX9920237666969,P-0137,ICICI,Savings
A-0327,FYFS5338619411839,P-0608,ICICI,Current
A-0328,VATZ3424240662834,P-0112,SBI,Current
A-0329,NGGZ4889334375186,P-0377,HDFC,Current
A-0330,NTIX0865424382692,P-0387,Axis,Savings
A-0331,RKKA7435095288959,P-0022,SBI,Savings
A-0332,IPUA3969645359176,P-0337,PNB,Savings
A-0333,KBIO1883009954288,P-0269,BOB,Savings
A-0334,OGIJ9668667989947,P-0051,PNB,Current
A-0335,ANWD7069014971103,P-0615,ICICI,Savings
A-0336,ZQIZ7156756650518,P-0092,ICICI,Savings
A-0337,XQNA1674492343596,P-0581,SBI,Savings
A-0338,SQKA4505669375402,P-0539,PNB,Current
A-0339,WXIF8617892571402,P-0507,SBI,Savings
A-0340,KBVH8576264816384,P-0209,HDFC,Current
A-0341,SHYX6806358530101,P-0295,BOB,Current
A-0342,YEOR9695193048527,P-0392,HDFC,Current
A-0343,OLQM7036562036344,P-0212,Axis,Savings
A-0344,VJGU9468963318123,P-0290,BOB,Savings
A-0345,HLOV6170731744577,P-0429,HDFC,Current
A-0346,NFVN2636785089897,P-0150,SBI,Current
A-0347,PIZP5944348529537,P-0468,HDFC,Current
A-0348,XOZI0376768740420,P-0255,ICICI,Current
A-0349,PNOL1497534115733,P-0088,SBI,Current
A-0350,BTSB0094065658234,P-0137,ICICI,Current
A-0351,XIKH8565352326600,P-0208,BOB,Current
A-0352,BIOA9110349561199,P-0434,BOB,Current
A-0353,QSSX6511815837466,P-0075,SBI,Savings
A-0354,CJXJ7761868704796,P-0054,ICICI,Savings
A-0355,MVUZ6829052565995,P-0483,ICICI,Savings
A-0356,AQUT1423302927640,P-0006,ICICI,Current
A-0357,KIPV3986221405131,P-0310,PNB,Current
A-0358,RMMB4747338914785,P-0583,Axis,Savings
A-0359,FIOJ4203594410238,P-0295,HDFC,Current
A-0360,PUHL1866477413135,P-0174,Axis,Current
A-0361,CQVG0258534658153,P-0348,PNB,Savings
A-0362,TQYR5217895599098,P-0092,ICICI,Current
A-0363,JWVZ1286558167592,P-0146,ICICI,Savings
A-0364,GRGD9348918003814,P-0321,SBI,Savings
A-0365,MGIE9242195973091,P-0512,ICICI,Current
A-0366,FCQK2734114613315,P-0441,ICICI,Current
A-0367,ULLG0153030440778,P-0628,ICICI,Current
A-0368,CVWD0965984557663,P-0447,HDFC,Current
A-0369,XZJK4182991269945,P-0504,HDFC,Current
A-0370,EBNJ1910616691008,P-0055,HDFC,Savings
A-0371,UEFV4216826822175,P-0056,HDFC,Savings
A-0372,UMFU6996208347910,P-0037,PNB,Current
A-0373,ALSH2572287032200,P-0168,BOB,Current
A-0374,UVOI8597243871295,P-0447,SBI,Current
A-0375,CJKF0580286060480,P-0042,PNB,Current
A-0376,FZFI0654747695090,P-0575,PNB,Current
A-0377,ICUQ9856643016556,P-0505,SBI,Savings
A-0378,ZEHQ8788876569931,P-0127,ICICI,Savings
A-0379,GMVB6229011386047,P-0209,ICICI,Savings
A-0380,SIVY7199038035148,P-0173,BOB,Current
A-0381,SZYK3829441914790,P-0577,BOB,Savings
A-0382,LHJO2839516730953,P-0598,SBI,Savings
A-0383,EVXM7084886865629,P-0427,SBI,Savings
A-0384,FLYV8228280183235,P-0511,BOB,Savings
A-0385,GBNQ8568467678096,P-0337,SBI,Current
A-0386,IKZR3744959752135,P-0125,PNB,Current
A-0387,UGCP5559289748741,P-0125,SBI,Current
A-0388,VCWU4862675119976,P-0158,SBI,Savings
A-0389,IKHI9655156419678,P-0472,BOB,Current
A-0390,TNHX0093582016301,P-0465,BOB,Current
A-0391,YXKS7224228483492,P-0223,BOB,Savings
A-0392,PMNR0984601804033,P-0338,SBI,Current
A-0393,JRAC5373586671554,P-0333,BOB,Savings
A-0394,INAL3926096746272,P-0217,SBI,Current
A-0395,BUKX3649911928567,P-0331,SBI,Savings
A-0396,XUVE8502155383077,P-0561,Axis,Current
A-0397,KKRE1262643956784,P-0095,PNB,Current
A-0398,JXMA7890751991981,P-0183,HDFC,Current
A-0399,OPLL1294414925316,P-0092,SBI,Savings
A-0400,ITRF8385974776565,P-0167,PNB,Current
A-0401,SBPA5549434368771,P-0292,BOB,Savings
A-0402,KNZS2209490763415,P-0124,ICICI,Current
A-0403,GLSO7100115477349,P-0443,BOB,Current
A-0404,IHVC4872255785641,P-0618,HDFC,Current
A-0405,HKIU7416855739523,P-0099,ICICI,Savings
A-0406,ERLL5809579475816,P-0502,PNB,Current
A-0407,MBEZ8413623347040,P-0488,ICICI,Current
A-0408,ODIM9714797341855,P-0093,PNB,Current
A-0409,SKBQ3745601703961,P-0629,HDFC,Current
A-0410,ACOL9001706794907,P-0646,PNB,Savings
A-0411,RNWT2855162159389,P-0042,Axis,Current
A-0412,NOMV3536735589607,P-0475,BOB,Savings
A-0413,BOEE8834133513901,P-0159,PNB,Savings
A-0414,IGBT7427493663579,P-0066,PNB,Current
A-0415,NOYC4803007356582,P-0401,PNB,Current
A-0416,MAQF5263794128866,P-0153,HDFC,Current
A-0417,SDCZ2232142526119,P-0255,Axis,Current
A-0418,PZUR9259465744653,P-0303,Axis,Savings
A-0419,FLVK4411818513673,P-0565,SBI,Savings
A-0420,QAVK2038819376841,P-0526,SBI,Current
A-0421,RYIP1462201483335,P-0423,SBI,Current
A-0422,IBDD2728360308764,P-0583,ICICI,Current
A-0423,OPBX9067618376295,P-0261,Axis,Savings
A-0424,APNU7162172048886,P-0516,SBI,Savings
A-0425,RBVJ1869303264564,P-0474,HDFC,Savings
A-0426,TNOJ1991605390649,P-0403,SBI,Savings
A-0427,BSXW7034251970181,P-0427,BOB,Current
A-0428,XLRS1368296707421,P-0322,Axis,Current
A-0429,KHCT3625260221690,P-0461,Axis,Current
A-0430,RWQO5480293358384,P-0098,HDFC,Savings
A-0431,GVTU1065735174546,P-0399,SBI,Current
A-0432,SGYW5102140128331,P-0109,PNB,Savings
A-0433,SKLQ9799035971771,P-0006,PNB,Savings
A-0434,PWAG0568709412460,P-0014,HDFC,Current
A-0435,KCMI8389533768418,P-0472,BOB,Current
A-0436,OYMO7600643459731,P-0617,BOB,Current
A-0437,UYPY3033249675745,P-0311,Axis,Current
A-0438,DYAJ8480947318156,P-0405,ICICI,Savings
A-0439,AKJF7079959476111,P-0129,HDFC,Savings
A-0440,BPSP6475456572897,P-0196,SBI,Savings
A-0441,EFMV9348540390984,P-0378,SBI,Savings
A-0442,VMQL6066992613826,P-0493,BOB,Savings
A-0443,ZRPB9777795703996,P-0248,PNB,Savings
A-0444,EMHP7927110735128,P-0089,ICICI,Current
A-0445,TNFF0682432333023,P-0152,PNB,Current
A-0446,TSHI4606069430695,P-0071,SBI,Savings
A-0447,UEGK7865294128537,P-0157,BOB,Current
A-0448,WBBZ6448854875311,P-0497,PNB,Savings
A-0449,SUYY8042554280537,P-0461,Axis,Savings
A-0450,NYJE5507868878602,P-0207,ICICI,Current
A-0451,BHXS2213170195866,P-0628,ICICI,Savings
A-0452,GSYS2879872873142,P-0246,BOB,Current
A-0453,ZJSL6291796441603,P-0426,PNB,Current
A-0454,GYFR8807005102874,P-0038,PNB,Current
A-0455,KVCE0220175454164,P-0498,Axis,Current
A-0456,QPTE1046627501526,P-0238,BOB,Savings
A-0457,VVSO4420360785483,P-0541,SBI,Current
A-0458,GASL8723836806014,P-0591,ICICI,Savings
A-0459,KOTE3267148581970,P-0275,BOB,Current
A-0460,DLBX1967972092519,P-0485,SBI,Current
A-0461,EBDR2852332970493,P-0334,BOB,Current
A-0462,YPSK8291585511639,P-0460,BOB,Current
A-0463,UOCJ9207574142487,P-0022,HDFC,Current
A-0464,HSNF6259188312497,P-0197,PNB,Current
A-0465,XOHY6772443435497,P-0449,HDFC,Savings
A-0466,QPFT6571564380299,P-0602,BOB,Current
A-0467,BYZH4804247960009,P-0443,BOB,Current
A-0468,JATC6573762426622,P-0135,ICICI,Current
A-0469,LITE0369309140152,P-0427,BOB,Current
A-0470,OHDW1722641475690,P-0551,HDFC,Savings
A-0471,AUCQ4293359847422,P-0290,BOB,Savings
A-0472,SRUH5966771539022,P-0495,HDFC,Savings
A-0473,NYFX4736500329909,P-0205,HDFC,Current
A-0474,BWUB6476144278735,P-0104,PNB,Current
A-0475,KIVB4231697920675,P-0311,HDFC,Savings
A-0476,ZISH9343969045392,P-0571,SBI,Savings
A-0477,ZWLF8783573381330,P-0368,ICICI,Current
A-0478,PHIK3302364122474,P-0163,HDFC,Savings
A-0479,AUSR5372033505160,P-0066,ICICI,Current
A-0480,EHEK1071555870940,P-0117,Axis,Savings
A-0481,IEEU4564119925512,P-0124,Axis,Savings
A-0482,KHQZ0781913505349,P-0499,ICICI,Current
A-0483,IYCT7157557166328,P-0364,SBI,Current
A-0484,UUEI6306162185635,P-0155,BOB,Savings
A-0485,EAYA7615042059868,P-0052,PNB,Current
A-0486,ZLVU6977143360809,P-0114,SBI,Savings
A-0487,BDBC4610392788881,P-0645,SBI,Savings
A-0488,RTGB4616388168785,P-0172,BOB,Savings
A-0489,CQVL6905096568826,P-0211,ICICI,Savings
A-0490,PFQB0727208147237,P-0107,BOB,Current
A-0491,GLNJ0783083069789,P-0519,PNB,Savings
A-0492,SUSL1454983671467,P-0158,BOB,Current
A-0493,ISBN6886751857116,P-0343,HDFC,Savings
A-0494,JLNB5956343180739,P-0207,PNB,Current
A-0495,EAXB2585653377730,P-0007,HDFC,Current
A-0496,VGDM7871926154872,P-0350,ICICI,Savings
A-0497,ADEI0254550054908,P-0088,ICICI,Current
A-0498,XXBV9983976738872,P-0425,ICICI,Savings
A-0499,JMDM3034383000914,P-0156,Axis,Current
A-0500,HKFT4930741799654,P-0234,HDFC,Current
