account_id,account_number,owner_person_id,bank,account_type
A-0176,328414375678,P-0141,HDFC Bank,Salary
A-0177,506574366672,P-0142,Punjab National Bank,Salary
A-0178,549545619124,P-0142,Axis Bank,Current
A-0179,62193083848,P-0143,IDFC First Bank,Savings
A-0180,125845286454,P-0144,Punjab National Bank,Current
A-0181,494108080333,P-0145,State Bank of India,Savings
A-0182,23532083439,P-0146,Yes Bank,Savings
A-0183,351107346461,P-0147,Yes Bank,Current
A-0184,880576705957,P-0148,State Bank of India,Current
A-0185,933762524197,P-0148,ICICI Bank,Savings
A-0186,442828133481,P-0149,HDFC Bank,Salary
A-0187,221233379627,P-0150,Punjab National Bank,Current
A-0188,26442217361,P-0150,HDFC Bank,Salary
A-0189,857761251681,P-0151,Yes Bank,Savings
A-0190,513366644677,P-0152,HDFC Bank,Salary
A-0191,437232532572,P-0153,Punjab National Bank,Current
A-0192,811566156935,P-0154,State Bank of India,Salary
A-0193,539368947342,P-0155,Punjab National Bank,Savings
A-0194,69646442412,P-0156,Axis Bank,Savings
A-0195,489459693180,P-0157,Bank of Baroda,Savings
A-0196,314059591513,P-0158,Canara Bank,Savings
A-0197,279677319074,P-0159,State Bank of India,Savings
A-0198,871489166009,P-0159,Yes Bank,Salary
A-0199,857703702424,P-0160,HDFC Bank,Savings
A-0200,110931384467,P-0161,Canara Bank,Current
A-0201,401098756160,P-0162,ICICI Bank,Salary
A-0202,543116369523,P-0163,Axis Bank,Current
A-0203,992712248618,P-0164,Yes Bank,Salary
A-0204,766005953800,P-0165,Kotak Mahindra Bank,Current
A-0205,998919210234,P-0166,State Bank of India,Current
A-0206,334523540384,P-0167,IDFC First Bank,Salary
A-0207,218263359320,P-0167,Canara Bank,Savings
A-0208,814549083133,P-0168,Yes Bank,Current
A-0209,590116407639,P-0169,ICICI Bank,Current
A-0210,301282184704,P-0170,IDFC First Bank,Current
A-0211,860406616228,P-0171,IDFC First Bank,Current
A-0212,215014498924,P-0171,State Bank of India,Salary
A-0213,691937798552,P-0172,Axis Bank,Current
A-0214,909962965481,P-0173,Kotak Mahindra Bank,Savings
A-0215,618879191636,P-0174,ICICI Bank,Salary
A-0216,363403348439,P-0174,Kotak Mahindra Bank,Salary
A-0217,113553654949,P-0175,IDFC First Bank,Salary
A-0218,925016055940,P-0176,ICICI Bank,Savings
A-0219,126832039810,P-0177,Yes Bank,Savings
A-0220,637201878841,P-0178,Kotak Mahindra Bank,Salary
A-0221,695158185614,P-0179,Canara Bank,Current
A-0222,409642779688,P-0179,Axis Bank,Salary
A-0223,241589082807,P-0180,Yes Bank,Savings
A-0224,713520023718,P-0181,State Bank of India,Current
A-0225,828440463411,P-0181,Kotak Mahindra Bank,Current
A-0226,687847385068,P-0182,Punjab National Bank,Salary
A-0227,90463207281,P-0183,Punjab National Bank,Savings
A-0228,581061371730,P-0184,HDFC Bank,Savings
A-0229,433190261839,P-0185,Axis Bank,Savings
A-0230,699643017546,P-0186,ICICI Bank,Salary
A-0231,129168628076,P-0187,Canara Bank,Current
A-0232,515408097129,P-0187,Kotak Mahindra Bank,Savings
A-0233,210972092281,P-0188,IDFC First Bank,Current
A-0234,184622769790,P-0189,IDFC First Bank,Salary
A-0235,400556494372,P-0190,Bank of Baroda,Salary
A-0236,939107314706,P-0190,Bank of Baroda,Current
A-0237,808117258353,P-0191,Bank of Baroda,Salary
A-0238,629509186137,P-0191,IDFC First Bank,Savings
A-0239,614584113184,P-0192,Punjab National Bank,Current
A-0240,508051501960,P-0192,Yes Bank,Current
A-0241,47479230166,P-0193,Punjab National Bank,Salary
A-0242,158252003336,P-0194,Punjab National Bank,Savings
A-0243,254746110433,P-0195,Axis Bank,Current
A-0244,915256798521,P-0196,Punjab National Bank,Salary
A-0245,49059665795,P-0197,Yes Bank,Current
A-0246,298357267506,P-0198,Bank of Baroda,Salary
A-0247,290173576486,P-0199,Punjab National Bank,Savings
A-0248,814092770340,P-0200,HDFC Bank,Salary
A-0249,878977935535,P-0200,Yes Bank,Savings
A-0250,781760934372,P-0201,Canara Bank,Savings
A-0251,716931135072,P-0201,Punjab National Bank,Savings
A-0252,865035549738,P-0202,State Bank of India,Current
A-0253,977861990446,P-0202,Kotak Mahindra Bank,Current
A-0254,859844261950,P-0203,Axis Bank,Salary
A-0255,867421016279,P-0204,Kotak Mahindra Bank,Savings
A-0256,55201882326,P-0205,Bank of Baroda,Salary
A-0257,561159545038,P-0206,Axis Bank,Savings
A-0258,816052125664,P-0207,Kotak Mahindra Bank,Current
A-0259,483400253072,P-0208,Punjab National Bank,Current
A-0260,379934935090,P-0209,HDFC Bank,Current
A-0261,450440960844,P-0210,Punjab National Bank,Savings
A-0262,488896683717,P-0211,ICICI Bank,Savings
A-0263,626245869731,P-0211,Axis Bank,Current
A-0264,639866610913,P-0212,Axis Bank,Salary
A-0265,588685286593,P-0212,Axis Bank,Savings
A-0266,861547090082,P-0213,Kotak Mahindra Bank,Current
A-0267,744922719727,P-0214,Kotak Mahindra Bank,Current
A-0268,217654401085,P-0215,Bank of Baroda,Current
A-0269,348313205080,P-0216,ICICI Bank,Current
A-0270,171590336931,P-0217,Yes Bank,Savings
A-0271,911617630336,P-0217,Axis Bank,Savings
A-0272,839598665291,P-0218,HDFC Bank,Savings
A-0273,964117007905,P-0219,Punjab National Bank,Savings
A-0274,893448123486,P-0220,HDFC Bank,Current
A-0275,33498583446,P-0221,Bank of Baroda,Savings
A-0276,601588851107,P-0221,Axis Bank,Savings
A-0277,540638055684,P-0222,Canara Bank,Salary
A-0278,777489486504,P-0223,State Bank of India,Current
A-0279,195780770380,P-0224,State Bank of India,Current
A-0280,777893717470,P-0225,Canara Bank,Current
A-0281,729256529934,P-0226,State Bank of India,Savings
A-0282,309189023133,P-0227,Bank of Baroda,Savings
A-0283,327909520690,P-0227,Kotak Mahindra Bank,Savings
A-0284,120422272598,P-0228,Bank of Baroda,Current
A-0285,666557789588,P-0228,IDFC First Bank,Savings
A-0286,560609976365,P-0229,Yes Bank,Salary
A-0287,280753674918,P-0230,IDFC First Bank,Current
A-0288,441600975146,P-0231,ICICI Bank,Savings
A-0289,399486151539,P-0232,Bank of Baroda,Salary
A-0290,312800569349,P-0233,State Bank of India,Salary
A-0291,438975652473,P-0234,State Bank of India,Salary
A-0292,174177627574,P-0235,Bank of Baroda,Current
A-0293,809240993760,P-0236,Kotak Mahindra Bank,Salary
A-0294,273785438092,P-0237,Canara Bank,Savings
A-0295,353470841812,P-0238,Canara Bank,Current
A-0296,604634653810,P-0238,ICICI Bank,Savings
A-0297,605200994719,P-0239,Axis Bank,Savings
A-0298,786051336090,P-0240,IDFC First Bank,Savings
A-0299,860299487213,P-0241,ICICI Bank,Salary
A-0300,632482623717,P-0241,ICICI Bank,Current
A-0301,596509310618,P-0242,HDFC Bank,Savings
A-0302,979973363305,P-0243,ICICI Bank,Salary
A-0303,361179869324,P-0244,Kotak Mahindra Bank,Current
A-0304,827946476012,P-0245,Punjab National Bank,Savings
A-0305,152192500589,P-0246,ICICI Bank,Savings
A-0306,635371309480,P-0247,Canara Bank,Savings
A-0307,762611037903,P-0248,State Bank of India,Current
A-0308,867654036206,P-0249,Yes Bank,Savings
A-0309,726022670001,P-0250,Bank of Baroda,Savings
A-0310,438861630357,P-0250,Yes Bank,Current
A-0311,221156854624,P-0251,Axis Bank,Savings
A-0312,252292179160,P-0252,Axis Bank,Savings
A-0313,203557581687,P-0252,Yes Bank,Salary
A-0314,369436633395,P-0253,Yes Bank,Savings
A-0315,454217969163,P-0253,State Bank of India,Salary
A-0316,356690623051,P-0254,Kotak Mahindra Bank,Salary
A-0317,830077358098,P-0254,Canara Bank,Salary
A-0318,128200287829,P-0255,Yes Bank,Current
A-0319,577991049521,P-0256,IDFC First Bank,Current
A-0320,437597069639,P-0257,IDFC First Bank,Salary
A-0321,328642980922,P-0258,Yes Bank,Current
A-0322,919561016914,P-0259,Punjab National Bank,Current
A-0323,333937008470,P-0260,Canara Bank,Savings
A-0324,922524123187,P-0261,Yes Bank,Savings
A-0325,865470604153,P-0262,Canara Bank,Salary
A-0326,462659774783,P-0263,Bank of Baroda,Current
A-0327,508984483970,P-0264,Canara Bank,Salary
A-0328,512006723057,P-0265,HDFC Bank,Current
A-0329,725935474858,P-0266,ICICI Bank,Salary
A-0330,134945714979,P-0267,Yes Bank,Salary
A-0331,585892006488,P-0268,Kotak Mahindra Bank,Salary
A-0332,612921833768,P-0269,Kotak Mahindra Bank,Savings
A-0333,378990316018,P-0270,Canara Bank,Salary
A-0334,964179057407,P-0271,ICICI Bank,Savings
A-0335,346809538734,P-0272,Punjab National Bank,Salary
A-0336,698435070318,P-0273,ICICI Bank,Savings
A-0337,155593128898,P-0273,Axis Bank,Savings
A-0338,512563605582,P-0274,Yes Bank,Current
A-0339,978978912678,P-0275,Yes Bank,Savings
A-0340,734083650158,P-0276,Yes Bank,Current
A-0341,97797186159,P-0277,Canara Bank,Salary
A-0342,276316203269,P-0277,IDFC First Bank,Current
A-0343,212073567572,P-0278,ICICI Bank,Savings
A-0344,169071505672,P-0279,State Bank of India,Salary
A-0345,61916287739,P-0280,HDFC Bank,Current
A-0346,749427304429,P-0281,Punjab National Bank,Salary
A-0347,512366404312,P-0282,Canara Bank,Current
A-0348,852213564352,P-0283,Punjab National Bank,Current
A-0349,430466688767,P-0284,HDFC Bank,Current
A-0350,526653782455,P-0285,ICICI Bank,Savings
A-0351,586939557520,P-0286,Kotak Mahindra Bank,Salary
A-0352,240621831621,P-0287,Canara Bank,Savings
A-0353,811317919940,P-0288,IDFC First Bank,Savings
A-0354,769024118829,P-0289,Canara Bank,Salary
A-0355,479384895353,P-0289,Canara Bank,Current
A-0356,643616730635,P-0290,Canara Bank,Current
A-0357,631113645998,P-0291,Yes Bank,Salary
A-0358,896878553493,P-0292,ICICI Bank,Salary
A-0359,788388612415,P-0292,Punjab National Bank,Savings
A-0360,36277499576,P-0293,Yes Bank,Salary
A-0361,945175305784,P-0294,Axis Bank,Salary
A-0362,59022933417,P-0295,Bank of Baroda,Current
A-0363,897170229216,P-0295,Axis Bank,Savings
A-0364,322201246039,P-0296,Punjab National Bank,Savings
A-0365,565340491135,P-0297,IDFC First Bank,Current
A-0366,762108201954,P-0298,Bank of Baroda,Current
A-0367,635881517804,P-0299,Canara Bank,Savings
A-0368,202552157511,P-0299,Axis Bank,Current
A-0369,752695536339,P-0300,Yes Bank,Current
A-0370,158801943248,P-0301,Yes Bank,Savings
A-0371,963019133734,P-0302,IDFC First Bank,Current
A-0372,870979753027,P-0302,Kotak Mahindra Bank,Salary
A-0373,584817402205,P-0303,Punjab National Bank,Salary
A-0374,600794987489,P-0304,State Bank of India,Savings
A-0375,885692418614,P-0305,Bank of Baroda,Savings
A-0376,934622535270,P-0306,State Bank of India,Current
A-0377,596806395850,P-0307,ICICI Bank,Salary
A-0378,437803177133,P-0307,ICICI Bank,Salary
A-0379,872706860814,P-0308,Punjab National Bank,Salary
A-0380,47408478033,P-0309,Punjab National Bank,Current
A-0381,974207506843,P-0310,Axis Bank,Current
A-0382,247522981676,P-0311,IDFC First Bank,Current
A-0383,131010758319,P-0311,Bank of Baroda,Savings
A-0384,112707072706,P-0312,Yes Bank,Salary
A-0385,541712764841,P-0313,IDFC First Bank,Savings
A-0386,815235380536,P-0314,IDFC First Bank,Current
A-0387,852429037546,P-0315,HDFC Bank,Salary
A-0388,805450221676,P-0316,State Bank of India,Current
A-0389,962252993468,P-0317,IDFC First Bank,Savings
A-0390,349320068159,P-0317,State Bank of India,Salary
A-0391,522532576828,P-0318,State Bank of India,Savings
A-0392,641456744482,P-0319,Punjab National Bank,Salary
A-0393,230421502794,P-0320,Axis Bank,Current
A-0394,360178458168,P-0321,Yes Bank,Salary
A-0395,174379798163,P-0322,ICICI Bank,Current
A-0396,626855851560,P-0323,IDFC First Bank,Savings
A-0397,394582232446,P-0324,IDFC First Bank,Current
A-0398,893493471760,P-0325,Punjab National Bank,Salary
A-0399,88045031757,P-0326,Punjab National Bank,Salary
A-0400,497653065418,P-0327,State Bank of India,Savings
A-0401,64440840533,P-0328,HDFC Bank,Current
A-0402,478521316052,P-0329,Kotak Mahindra Bank,Savings
A-0403,403489078147,P-0330,Punjab National Bank,Current
A-0404,228259251362,P-0330,IDFC First Bank,Savings
A-0405,154172557248,P-0331,HDFC Bank,Salary
A-0406,115090444802,P-0331,Yes Bank,Current
A-0407,265424049607,P-0332,Axis Bank,Savings
A-0408,997245891106,P-0332,Canara Bank,Current
A-0409,209252453180,P-0333,Bank of Baroda,Current
A-0410,42158596544,P-0334,HDFC Bank,Current
A-0411,392736935583,P-0334,Yes Bank,Current
A-0412,853025876181,P-0335,Bank of Baroda,Salary
A-0413,123850776898,P-0336,Kotak Mahindra Bank,Salary
A-0414,621284955856,P-0337,HDFC Bank,Current
A-0415,660261555350,P-0338,Kotak Mahindra Bank,Savings
A-0416,278954609487,P-0338,IDFC First Bank,Savings
A-0417,80367955875,P-0339,Bank of Baroda,Savings
A-0418,773704952717,P-0339,Canara Bank,Current
A-0419,875724580023,P-0340,Bank of Baroda,Salary
A-0420,270679316984,P-0340,ICICI Bank,Salary
A-0421,640122850313,P-0341,Yes Bank,Savings
A-0422,621282844294,P-0342,HDFC Bank,Current
A-0423,345764110674,P-0342,Kotak Mahindra Bank,Savings
A-0424,906297434913,P-0343,Canara Bank,Current
A-0425,720792585336,P-0344,State Bank of India,Savings
A-0426,163832987923,P-0345,Canara Bank,Salary
A-0427,172165414008,P-0346,ICICI Bank,Current
A-0428,685984828240,P-0347,Canara Bank,Current
A-0429,758207619702,P-0348,Bank of Baroda,Current
A-0430,490764364718,P-0349,Bank of Baroda,Savings
A-0431,454573885344,P-0350,ICICI Bank,Current
A-0432,999428278332,P-0351,IDFC First Bank,Savings
A-0433,627201206286,P-0352,Bank of Baroda,Savings
A-0434,43782836813,P-0353,Axis Bank,Current
A-0435,360577625952,P-0354,Kotak Mahindra Bank,Current
A-0436,488380179233,P-0354,IDFC First Bank,Savings
A-0437,162363412561,P-0355,Axis Bank,Salary
A-0438,934965393333,P-0356,Kotak Mahindra Bank,Savings
A-0439,748187778879,P-0356,ICICI Bank,Savings
A-0440,718977750534,P-0357,State Bank of India,Savings
A-0441,489567143505,P-0358,ICICI Bank,Savings
A-0442,714963993110,P-0358,Kotak Mahindra Bank,Current
A-0443,210245327485,P-0359,Yes Bank,Salary
A-0444,617411990377,P-0359,Yes Bank,Current
A-0445,212833012774,P-0360,Kotak Mahindra Bank,Salary
A-0446,557943073538,P-0361,Axis Bank,Salary
A-0447,643705958731,P-0362,Bank of Baroda,Savings
A-0448,540721161251,P-0363,Bank of Baroda,Savings
A-0449,770044876280,P-0364,HDFC Bank,Savings
A-0450,816295007049,P-0364,IDFC First Bank,Current
A-0451,98119627343,P-0365,IDFC First Bank,Salary
A-0452,276667846531,P-0365,Yes Bank,Salary
A-0453,708722777484,P-0366,IDFC First Bank,Salary
A-0454,68467557816,P-0367,Bank of Baroda,Salary
A-0455,510229982535,P-0368,IDFC First Bank,Current
A-0456,398355307061,P-0369,Punjab National Bank,Current
A-0457,770360936429,P-0370,Canara Bank,Salary
A-0458,872115778912,P-0371,Canara Bank,Current
A-0459,532393865966,P-0372,Canara Bank,Savings
A-0460,900311300761,P-0373,Canara Bank,Savings
A-0461,102276342383,P-0374,ICICI Bank,Salary
A-0462,872650388713,P-0375,Punjab National Bank,Current
A-0463,317587509263,P-0376,Punjab National Bank,Current
A-0464,133443498317,P-0377,Canara Bank,Savings
A-0465,502457323648,P-0378,Bank of Baroda,Savings
A-0466,782160076885,P-0379,Axis Bank,Current
A-0467,593253861572,P-0380,State Bank of India,Current
A-0468,173068507814,P-0381,Canara Bank,Savings
A-0469,857882154935,P-0382,Kotak Mahindra Bank,Savings
A-0470,493873881564,P-0382,ICICI Bank,Savings
A-0471,714607964003,P-0383,Punjab National Bank,Savings
A-0472,517525979161,P-0384,Kotak Mahindra Bank,Current
A-0473,832384301451,P-0385,IDFC First Bank,Savings
A-0474,786029766203,P-0386,Kotak Mahindra Bank,Current
A-0475,170041756412,P-0386,IDFC First Bank,Current
A-0476,503050688004,P-0387,Kotak Mahindra Bank,Salary
A-0477,593951324405,P-0388,State Bank of India,Savings
A-0478,941819713447,P-0389,Kotak Mahindra Bank,Salary
A-0479,307791417486,P-0390,Punjab National Bank,Savings
A-0480,652760510095,P-0391,Kotak Mahindra Bank,Current
A-0481,751888227180,P-0392,Canara Bank,Savings
A-0482,768825021431,P-0393,ICICI Bank,Current
A-0483,21479596596,P-0394,HDFC Bank,Savings
A-0484,585945230651,P-0395,HDFC Bank,Salary
A-0485,394167396521,P-0395,Axis Bank,Salary
A-0486,221535283056,P-0396,State Bank of India,Savings
A-0487,734106311497,P-0397,Axis Bank,Salary
A-0488,105004578288,P-0398,Canara Bank,Savings
A-0489,850337816183,P-0399,Canara Bank,Savings
A-0490,134107382011,P-0399,ICICI Bank,Current
A-0491,737855031967,P-0400,HDFC Bank,Salary
A-0492,853000648357,P-0401,Kotak Mahindra Bank,Salary
A-0493,744024477232,P-0401,Bank of Baroda,Current
