person_id,name,age,gender,address,occupation,criminal_history_flag,risk_score
P-0049,Urvi Chaudhry,47,Female,"26/217, Nigam Road, Jodhpur-865780",Government Employee,0,0.083
P-0050,Jacob Mani,60,Male,"11, Ganesan Chowk, Bhopal-504556",Software Engineer,1,0.558
P-0051,Jason Wali,61,Male,"219, Khosla Marg, Ballia-374740",Unemployed,1,0.19
P-0052,Maanas Dugar,63,Male,"H.No. 94, Krishna Marg, Barasat 671369",Travel Agent,0,0.196
P-0053,Manbir Merchant,45,Male,"H.No. 09, Taneja Nagar, Berhampur 339421",Bank Clerk,1,0.04
P-0054,Nilima Sastry,60,Female,"21/456, Iyer Street, Panvel 884247",Farmer,0,0.199
P-0055,Pallavi Contractor,53,Female,"368, Chana Path, Kanpur-817549",Government Employee,0,0.512
P-0056,Ria Chokshi,51,Female,"H.No. 985, Kant, Madhyamgram-612004",Government Employee,0,0.237
P-0057,Devika Chatterjee,52,Female,"75, Saini Circle, Vijayanagaram-796405",Software Engineer,1,0.13
P-0058,Vamakshi Saxena,39,Female,"H.No. 585, Rao Nagar, Jhansi-713900",Farmer,0,0.088
P-0059,Jairaj Dass,54,Male,"39/33, Divan Path, Bally-284210",Trader,0,0.152
P-0060,Abhimanyu Parmar,49,Male,"H.No. 240, Sama Street, Rajkot-758917",Bank Clerk,1,0.234
P-0061,Anthony Verma,47,Male,"00/766, Swaminathan Zila, Srinagar 592124",Businessman,1,0.507
P-0062,Rayaan Wali,47,Male,"96/11, Kale Circle, Bidhannagar 657661",Auto Driver,1,0.277
P-0063,Unni Munshi,35,Female,"711, Chander Zila, Jalandhar 280988",Mobile Shop Owner,0,0.257
P-0064,Darsh Roy,40,Male,"04/945, Tripathi Zila, Bhatpara 315851",Bank Clerk,0,0.365
P-0065,Isaiah Sanghvi,19,Male,"H.No. 244, Panchal Path, Bokaro 961201",Student,1,0.107
P-0066,Riya Saini,41,Female,"545, Chad, Bhatpara-901476",Auto Driver,0,0.182
P-0067,Timothy Sachdeva,24,Male,"15/61, Sur Road, Ranchi 690034",Travel Agent,0,0.679
P-0068,Ekapad Kumer,40,Male,"H.No. 076, Dayal Street, Katihar 885160",Farmer,0,0.268
P-0069,Adya Sharaf,24,Female,"69/66, Contractor Road, Jaipur 297516",Trader,0,0.291
P-0070,Keya Sarin,57,Female,"45, Nath Ganj, Solapur-883552",Mobile Shop Owner,0,0.327
P-0071,Dalaja Dhingra,33,Female,"921, Tak Street, Phusro 995527",Contractor,0,0.138
P-0072,Vrinda Sathe,39,Female,"05/81, Shenoy Road, Agra 541199",Shopkeeper,0,0.243
P-0073,Vedhika Barman,56,Female,"H.No. 97, Dora Circle, Hospet-518203",Travel Agent,0,0.424
P-0074,Urvashi Viswanathan,49,Female,"H.No. 46, Nigam Marg, Thanjavur-518644",Farmer,0,0.392
P-0075,Ojas Bumb,36,Male,"H.No. 62, Chad, Karaikudi-528168",Bank Clerk,0,0.199
P-0076,Adya Patil,45,Female,"573, Devan Ganj, Solapur 188805",Travel Agent,0,0.27
P-0077,Raghav Dube,38,Male,"92/706, Khanna Path, Phagwara-738347",Software Engineer,0,0.194
P-0078,Raksha Sastry,24,Female,"88, Edwin Marg, Mahbubnagar-407581",Contractor,1,0.448
P-0079,Meghana Chacko,20,Female,"82, Chand Marg, Hospet-060685",Shopkeeper,0,0.257
P-0080,Reyansh Bumb,54,Male,"H.No. 515, Devan Street, Baranagar 277901",Unemployed,0,0.479
P-0081,Lavanya Kale,25,Female,"H.No. 434, Batta Zila, Gurgaon-117980",Contractor,1,0.232
P-0082,Eshana Manne,23,Female,"53/96, Chada Street, Jabalpur-670654",Bank Clerk,1,0.336
P-0083,Rachana Bir,46,Female,"19/520, Nigam Path, Madhyamgram 221704",Businessman,0,0.6
P-0084,Anthony Iyengar,31,Male,"H.No. 86, Solanki Circle, Vadodara 450541",Chartered Accountant,1,0.497
P-0085,Tejas Ratta,44,Male,"H.No. 27, Pillai Chowk, Gwalior-169284",Government Employee,0,0.335
P-0086,Dalaja Buch,22,Female,"H.No. 79, Ganesan Marg, Etawah 059640",Chartered Accountant,1,0.164
P-0087,Samaksh Patla,45,Male,"970, Bhavsar Street, Ambarnath-690927",Software Engineer,0,0.493
P-0088,Ria Sawhney,46,Female,"56/54, Comar Ganj, Gaya 868144",Software Engineer,0,0.256
P-0089,Jalsa Mangal,23,Female,"H.No. 217, Saxena Street, Imphal-188442",Student,1,0.33
P-0090,Pratyush Trivedi,61,Male,"237, Patel Nagar, Bhind-911467",Contractor,1,0.062
P-0091,Tara Borah,29,Female,"17/785, Gopal Street, Bhiwani-182422",Student,0,0.494
P-0092,Jeevika Pal,60,Female,"H.No. 38, Dass Road, Srikakulam 829922",Software Engineer,0,0.264
P-0093,Ansh Balakrishnan,47,Male,"94/396, Balasubramanian, Bongaigaon 473647",Software Engineer,1,0.229
P-0094,Ayushman Dugar,60,Male,"73, Dhawan Path, Imphal-625881",Contractor,0,0.283
P-0095,Kavya Shukla,21,Female,"32, Bedi Zila, Yamunanagar 325953",Bank Clerk,1,0.064
P-0096,Zaid Varma,58,Male,"H.No. 70, Ramaswamy Zila, New Delhi-950047",Student,0,0.736
P-0097,Luke Yadav,25,Male,"24, Rau Path, Ranchi 098358",Government Employee,0,0.298
P-0098,Bina Raju,48,Female,"91/21, Prakash Marg, Proddatur-239868",Bank Clerk,0,0.111
P-0099,Arin Barad,22,Male,"87, Varma Street, Khammam-269495",Unemployed,0,0.007
P-0100,Netra Soman,27,Female,"H.No. 16, Morar, Kavali 499309",Government Employee,0,0.207
P-0101,Harinakshi Viswanathan,30,Female,"30/913, Sastry Nagar, Gurgaon-636897",Travel Agent,1,0.255
P-0102,Ekantika Venkataraman,63,Female,"78/652, Walia Chowk, Bongaigaon-497334",Businessman,0,0.156
P-0103,Jeevika Mishra,20,Female,"75/758, Mani Road, Chapra 652404",Auto Driver,0,0.206
P-0104,Prisha Sathe,18,Female,"384, Magar Circle, Moradabad 308330",Travel Agent,1,0.736
P-0105,Triveni Narayanan,39,Female,"20/826, Sood Chowk, Tumkur-401938",Student,0,0.242
P-0106,Harita Sahni,38,Female,"72, Barad Road, Bihar Sharif-547887",Chartered Accountant,0,0.394
P-0107,Zayyan Sidhu,65,Male,"H.No. 527, Grewal Road, Naihati 932966",Software Engineer,0,0.055
P-0108,Chameli Rattan,19,Female,"753, Lal Nagar, Noida 454990",Shopkeeper,1,0.079
P-0109,Radha Keer,54,Female,"42, Thakkar Marg, Kochi 593327",Chartered Accountant,0,0.078
P-0110,Utkarsh Prakash,49,Male,"33/91, Sekhon Circle, Solapur-088398",Businessman,0,0.175
P-0111,Gayathri Narang,36,Female,"39/718, Bhakta Chowk, Mira-Bhayandar-790874",Chartered Accountant,0,0.09
P-0112,Siya Kumar,48,Female,"10/65, Bhasin Zila, Chittoor 462265",Software Engineer,1,0.395
P-0113,Udarsh Purohit,56,Male,"82/512, Ramaswamy Circle, Rajahmundry-047868",Travel Agent,0,0.521
P-0114,Jyoti Kota,61,Female,"431, Saini Nagar, New Delhi-119079",Mobile Shop Owner,0,0.33
P-0115,Jason Basu,37,Male,"830, Thakur Street, Muzaffarpur-995342",Mobile Shop Owner,0,0.51
P-0116,Triveni Mital,29,Female,"92/68, Batta Chowk, Eluru 662462",Bank Clerk,1,0.296
P-0117,Jai Kar,34,Male,"08, Saha Marg, Munger 435175",Businessman,0,0.211
P-0118,Girish Behl,47,Male,"99/013, Kalla, Dhule 403317",Software Engineer,1,0.456
P-0119,Harsh Ranganathan,34,Male,"H.No. 67, Parmer Circle, Bhilwara-877175",Farmer,1,0.293
P-0120,Reva Munshi,24,Female,"32/04, Sahni Circle, Jamnagar-536937",Chartered Accountant,1,0.043
P-0121,Kabir Suresh,59,Male,"522, Suresh Circle, Hosur-801006",Software Engineer,0,0.231
P-0122,Jack Bir,20,Male,"875, Subramanian Nagar, Pune-886008",Unemployed,0,0.105
P-0123,Mekhala Badal,60,Female,"H.No. 182, Handa Ganj, Raichur-615679",Travel Agent,0,0.241
P-0124,Isaiah Mital,49,Male,"H.No. 666, Soni Circle, Bangalore 176591",Student,0,0.099
P-0125,Ishwar Kakar,61,Male,"H.No. 148, Bali, Satna-392614",Real Estate Agent,0,0.378
P-0126,Kavya Ramachandran,23,Female,"21/850, Sarkar Zila, Aurangabad 999650",Chartered Accountant,1,0.597
P-0127,Umang Swaminathan,54,Male,"66/29, Chada Marg, Shahjahanpur-142626",Bank Clerk,1,0.194
P-0128,Pranit Chhabra,35,Male,"H.No. 75, Chaudry Road, Chandigarh 678886",Contractor,0,0.202
P-0129,Amara Chakraborty,21,Female,"95/60, Sachdev Road, Guwahati 982622",Auto Driver,0,0.305
P-0130,Matthew Loyal,46,Male,"H.No. 264, Mistry Marg, Solapur-437993",Farmer,1,0.196
P-0131,Damyanti Deshmukh,47,Female,"59, Narayan Marg, Thanjavur 924593",Chartered Accountant,0,0.086
P-0132,Nirja Goel,63,Female,"H.No. 79, Nanda Ganj, Parbhani-519398",Businessman,0,0.11
P-0133,Amara Shenoy,42,Female,"H.No. 16, Dewan Chowk, New Delhi-266179",Student,0,0.428
P-0134,Sai Warrior,45,Male,"H.No. 89, Chopra Zila, Raichur-909656",Government Employee,0,0.273
P-0135,Aashi Chaudhari,45,Female,"88/99, Sehgal Ganj, Katni 982507",Real Estate Agent,0,0.385
P-0136,Manbir Sagar,53,Male,"25/457, Verma Ganj, Karnal 177514",Shopkeeper,0,0.471
P-0137,Deepa Bajaj,64,Female,"23/828, Narayanan Street, Surendranagar Dudhrej 622660",Shopkeeper,0,0.313
P-0138,Varenya Sanghvi,32,Female,"33/419, Yadav Zila, Ambarnath-371478",Contractor,1,0.327
P-0139,Rishi Ramanathan,56,Male,"H.No. 79, Mishra Street, Guntur 134125",Businessman,0,0.273
P-0140,Yashodhara Rama,22,Female,"66/27, Ghose Circle, Unnao-225790",Auto Driver,0,0.313
P-0141,Aarna Sundaram,64,Female,"88, Rege Chowk, Vijayanagaram-721903",Real Estate Agent,0,0.551
P-0142,Amol Maharaj,61,Male,"797, Vaidya Circle, Chapra-485807",Software Engineer,1,0.389
P-0143,Simon Chaudry,40,Male,"H.No. 745, Sarna Zila, Patiala-959629",Trader,1,0.372
P-0144,Harshil Jhaveri,43,Male,"49/82, Master Path, Chapra 812604",Student,1,0.109
P-0145,Ekaja Krish,38,Female,"672, Luthra, Gandhinagar-116845",Software Engineer,1,0.232
P-0146,Widisha Narang,22,Female,"75/186, Sanghvi Ganj, Shimla 545892",Trader,0,0.262
P-0147,Onveer Bava,43,Male,"70/127, Acharya Chowk, Panihati 424154",Shopkeeper,0,0.145
P-0148,Ria Gandhi,23,Female,"43/611, Kala Nagar, Solapur 938700",Trader,0,0.168
P-0149,Dipta Sami,65,Female,"H.No. 361, Chauhan Zila, Arrah-262218",Real Estate Agent,1,0.469
P-0150,Gayathri Sarraf,64,Female,"26/973, Chaudhry Zila, Amravati 565234",Contractor,0,0.172
P-0151,Jeet Mane,59,Male,"898, Ramanathan Ganj, Meerut 761379",Software Engineer,1,0.358
P-0152,Zarna Arora,61,Female,"696, Gera Path, Srinagar 910430",Businessman,0,0.418
P-0153,Sneha Toor,27,Female,"61, Yogi Circle, Alwar 418328",Government Employee,1,0.326
P-0154,Rohan Bhatti,37,Male,"30/316, Setty Zila, Tirupati 102027",Government Employee,0,0.153
P-0155,Kai Ganesan,57,Male,"41/056, Viswanathan Road, Firozabad 778507",Student,0,0.19
P-0156,Raksha Dugar,54,Female,"13/80, Arora Nagar, Ranchi 562208",Chartered Accountant,1,0.239
P-0157,Isaac Nagy,50,Male,"54/195, Thakkar Zila, Mangalore-806174",Chartered Accountant,1,0.186
P-0158,Nihal Chadha,41,Male,"H.No. 34, Modi, Madhyamgram-973832",Real Estate Agent,0,0.193
P-0159,Tara Bajwa,22,Female,"05/064, Jha Zila, Gurgaon-024103",Real Estate Agent,1,0.309
P-0160,Quincy Shanker,39,Male,"26/19, Bhatia, Bikaner 445655",Software Engineer,0,0.14
P-0161,Laban Kaur,37,Male,"912, Gala Zila, Kirari Suleman Nagar 618537",Farmer,0,0.406
P-0162,Vincent Lanka,59,Male,"490, Narang Ganj, Mysore 568044",Chartered Accountant,0,0.323
P-0163,Amruta Ravel,30,Female,"H.No. 712, Arora Zila, Korba-365199",Bank Clerk,0,0.088
P-0164,Baljiwan Bains,60,Male,"72/151, Shenoy Nagar, Gulbarga 670662",Real Estate Agent,0,0.482
P-0165,Hredhaan Grover,64,Male,"20, Korpal, Panchkula 870146",Government Employee,1,0.167
P-0166,Shaurya Iyengar,52,Male,"57, Sundaram Circle, Buxar-642059",Bank Clerk,1,0.349
P-0167,Amruta Mand,47,Female,"59/32, Kota Zila, Shimoga 396522",Mobile Shop Owner,1,0.304
P-0168,Nitara Parmer,53,Female,"92/93, More Chowk, Pallavaram 103930",Businessman,1,0.592
P-0169,Aachal Narula,46,Female,"H.No. 25, Bains Nagar, Dharmavaram-185156",Businessman,0,0.593
P-0170,Pahal Mittal,33,Female,"675, Parikh Street, Giridih 644220",Trader,0,0.111
P-0171,Anamika Gopal,27,Female,"91/725, Khanna Zila, Imphal 157043",Auto Driver,1,0.511
P-0172,Bahadurjit Palla,19,Male,"00/676, Sachdev Street, Burhanpur 861793",Unemployed,1,0.112
P-0173,Varsha Borah,33,Female,"H.No. 541, Oommen Zila, Gandhinagar 181599",Unemployed,1,0.148
P-0174,Amruta Sankar,56,Female,"015, Gupta Ganj, Begusarai-443106",Farmer,1,0.429
P-0175,Ganga Bhagat,33,Female,"14, Srinivasan, Jalandhar 324171",Student,0,0.364
P-0176,Rushil Sinha,42,Male,"H.No. 862, Raj Path, Gaya-047743",Contractor,0,0.441
P-0177,Azaan Dora,40,Male,"58/693, Bhat Circle, Nagaon 879374",Bank Clerk,0,0.278
P-0178,Rudra Banerjee,40,Male,"22, Hans Ganj, Kalyan-Dombivli-163294",Farmer,1,0.302
P-0179,Bhavna Chahal,58,Female,"54/87, Virk Nagar, Gorakhpur-229991",Auto Driver,0,0.082
P-0180,Chandresh Mangal,30,Male,"H.No. 67, Solanki, Malegaon 629960",Businessman,1,0.257
P-0181,Noah Khanna,59,Male,"H.No. 50, Mitter Path, Parbhani 132475",Real Estate Agent,1,0.504
P-0182,Turvi Chakraborty,39,Female,"678, Bhalla Path, Amritsar-862890",Auto Driver,0,0.279
P-0183,Inaya Iyer,23,Female,"H.No. 705, Mahal Ganj, Madhyamgram 103579",Trader,0,0.554
P-0184,Hema Som,37,Female,"414, Raju Nagar, Ujjain 333468",Government Employee,0,0.292
P-0185,Aarna Som,57,Female,"03/49, Maharaj Road, Gandhinagar-743748",Trader,1,0.102
P-0186,Charan Amble,19,Male,"H.No. 17, Nayar Zila, Anantapur 443283",Auto Driver,0,0.54
P-0187,Tamanna Nagarajan,41,Female,"74/466, Banik Marg, Tiruvottiyur-875842",Trader,0,0.057
P-0188,Nandini Chatterjee,22,Female,"48/251, Pant Ganj, Aizawl-554947",Student,1,0.286
P-0189,Wahab Bera,65,Male,"816, Misra Circle, Meerut 235697",Auto Driver,0,0.302
P-0190,Nisha Gole,31,Female,"H.No. 25, Agrawal Nagar, Panipat 292712",Student,1,0.12
P-0191,Upadhriti Raval,23,Female,"00, Iyengar Circle, Kanpur-830033",Mobile Shop Owner,0,0.208
P-0192,Nachiket Dayal,63,Male,"94/21, Misra Nagar, Sirsa 625753",Travel Agent,0,0.354
P-0193,Saksham Bahl,26,Male,"23/098, Dasgupta Street, Agra-489090",Bank Clerk,0,0.056
P-0194,Advaith Bava,57,Male,"61, Krishnan Circle, Jamnagar 046184",Businessman,1,0.155
P-0195,Ubika Cheema,54,Female,"H.No. 173, Iyengar, Nagaon 564208",Software Engineer,1,0.212
P-0196,Hemang Srivastava,53,Male,"H.No. 011, Tak, Mysore 143744",Chartered Accountant,0,0.191
P-0197,Arya Chaudhry,28,Female,"H.No. 55, D’Alia Marg, Ranchi-225579",Auto Driver,1,0.21
P-0198,Chakradhar Pradhan,34,Male,"H.No. 667, Rajan Road, Bidar 120216",Bank Clerk,0,0.373
P-0199,Theodore Golla,55,Male,"02/77, Sabharwal Zila, Ranchi-450899",Student,1,0.337
P-0200,Omkaar Venkataraman,19,Male,"37/562, Bhagat Circle, Sangli-Miraj & Kupwad 721753",Software Engineer,1,0.312
P-0201,Maya Bedi,57,Female,"31, Sawhney Chowk, Hubli–Dharwad-751701",Chartered Accountant,1,0.449
P-0202,Triveni Banik,37,Female,"94/88, Shan Ganj, Bharatpur 375899",Government Employee,1,0.077
P-0203,Qabil Sethi,38,Male,"30/554, Vig Circle, Aligarh 272614",Contractor,0,0.462
P-0204,Ijaya Dara,33,Female,"35, Sachdeva Zila, Giridih-779827",Government Employee,1,0.486
P-0205,Zilmil Bava,33,Female,"29/22, Ram Zila, Dibrugarh-693465",Contractor,0,0.405
P-0206,Upkaar Deol,49,Male,"84/85, Kalla Circle, Bhagalpur-522885",Farmer,0,0.1
P-0207,Qushi Srinivasan,21,Female,"08, Bakshi Zila, Ulhasnagar-034244",Shopkeeper,1,0.283
P-0208,Azaan Merchant,24,Male,"H.No. 71, Kapur, Patiala-066658",Trader,1,0.202
P-0209,Abeer Krishnamurthy,54,Male,"598, Hegde, Durg-212281",Farmer,1,0.31
P-0210,Anusha Sangha,57,Female,"294, Narayanan Nagar, Bhatpara 259094",Chartered Accountant,0,0.136
P-0211,Rachita Bora,27,Female,"818, Sagar Street, Tiruchirappalli 335554",Bank Clerk,0,0.48
P-0212,Zilmil Soman,51,Female,"57/399, Baral Ganj, Eluru 648408",Government Employee,1,0.151
P-0213,Yasti Trivedi,63,Female,"H.No. 435, Butala Circle, Rourkela-133613",Student,1,0.352
P-0214,Balendra Dube,56,Male,"50/110, Krishnamurthy Street, Ramgarh 466766",Government Employee,1,0.343
P-0215,Abhiram Ramachandran,55,Male,"91/901, Thakkar Path, Ramagundam 914766",Government Employee,1,0.669
P-0216,Warjas Dugar,44,Male,"68/424, Apte Path, Amravati-099688",Travel Agent,1,0.294
P-0217,Michael Kade,63,Male,"82, Gour Street, Tadepalligudem 312908",Auto Driver,0,0.322
P-0218,Balhaar Mannan,47,Male,"H.No. 397, Parikh Path, Noida 491357",Businessman,0,0.192
P-0219,Omya Mohan,57,Female,"H.No. 62, Munshi Nagar, Korba-452577",Government Employee,1,0.241
P-0220,Rachita Mody,36,Female,"914, Yohannan Street, Firozabad-108099",Travel Agent,1,0.449
P-0221,Jagvi Bansal,36,Female,"25/639, Desai Road, Orai 658039",Software Engineer,0,0.338
P-0222,Ekaraj Sehgal,36,Male,"92/75, Kanda Nagar, Ahmednagar-453038",Shopkeeper,1,0.423
P-0223,Sara Singh,31,Female,"H.No. 518, Lall Road, Gandhinagar-591846",Bank Clerk,0,0.239
P-0224,Samaksh Pandit,33,Male,"90, Dewan Circle, Dehradun 184322",Shopkeeper,0,0.53
P-0225,Radhika Dani,24,Female,"H.No. 17, Srinivas Chowk, Gudivada-603029",Chartered Accountant,0,0.008
P-0226,Ekani Vala,59,Female,"H.No. 242, Ravi Circle, Anantapuram 379772",Bank Clerk,0,0.373
P-0227,Samesh Dhar,52,Male,"579, Biswas, Burhanpur-210388",Travel Agent,0,0.215
P-0228,Falguni Char,49,Female,"90/88, Chander Zila, Bikaner-686508",Auto Driver,0,0.321
P-0229,Jyoti Subramaniam,35,Female,"91/62, Sood Road, Gwalior-986430",Bank Clerk,0,0.178
P-0230,Daniel Venkatesh,65,Male,"35/651, Sandhu Street, Bhilwara 959463",Real Estate Agent,0,0.44
P-0231,Warhi Gola,45,Female,"H.No. 49, Rao Path, Kochi 721386",Farmer,1,0.271
P-0232,Ati Dyal,39,Female,"H.No. 279, Chakrabarti Marg, Firozabad-519066",Unemployed,0,0.365
P-0233,Ayush Gill,47,Male,"H.No. 384, Bandi Ganj, Srikakulam-053021",Unemployed,1,0.24
P-0234,Ryan Pandit,58,Male,"38/01, Mane Zila, Sri Ganganagar-393769",Businessman,0,0.237
P-0235,Leena Gill,44,Female,"18/45, Varghese Zila, Siwan-769735",Travel Agent,0,0.23
P-0236,Victor Bala,61,Male,"H.No. 16, Karpe Ganj, Haridwar-880434",Mobile Shop Owner,0,0.451
P-0237,Ryan Oommen,21,Male,"55, Luthra Ganj, Jhansi 333433",Contractor,0,0.419
P-0238,Kritika Parekh,25,Female,"H.No. 179, Basak Nagar, Serampore-794728",Chartered Accountant,1,0.324
P-0239,Sneha Kapadia,26,Female,"67/80, Palan Circle, Akola-187500",Farmer,0,0.267
P-0240,Ranveer Chaudhuri,43,Male,"42/84, Luthra Ganj, Pudukkottai 527636",Unemployed,0,0.673
P-0241,Qabil Rattan,52,Male,"929, Chaudhry Ganj, Noida 632270",Shopkeeper,0,0.218
P-0242,Shivansh Tata,59,Male,"44, Batta Circle, Navi Mumbai-034717",Travel Agent,0,0.28
P-0243,Leena Patel,42,Female,"H.No. 06, Panchal Zila, Gangtok 455877",Software Engineer,0,0.323
P-0244,Rayaan Mangat,52,Male,"569, Ravel, Vijayawada-535544",Trader,0,0.484
P-0245,Lopa Saxena,52,Female,"22, Dass Nagar, Chandrapur 326111",Trader,0,0.225
P-0246,Avi Bal,20,Male,"H.No. 492, Ramakrishnan Zila, Berhampur-472282",Mobile Shop Owner,0,0.557
P-0247,Anika Parikh,56,Female,"84, Saxena Circle, Panvel 997968",Chartered Accountant,0,0.076
P-0248,Oscar Subramaniam,21,Male,"45, Lad Marg, Avadi-082547",Auto Driver,0,0.146
P-0249,Xalak Sood,33,Female,"49, Amble Ganj, Maheshtala 866326",Unemployed,0,0.233
P-0250,Imaran Lall,58,Male,"38/944, Luthra Circle, Maheshtala 224179",Chartered Accountant,0,0.204
P-0251,Madhavi Swamy,44,Female,"H.No. 208, Grewal Nagar, Ichalkaranji-270312",Auto Driver,1,0.199
P-0252,Yatin Kalla,47,Male,"H.No. 75, Balay Chowk, Jodhpur 046187",Businessman,1,0.239
P-0253,Inaya Krishna,31,Female,"H.No. 367, Bandi Ganj, Jaunpur-837645",Real Estate Agent,0,0.148
P-0254,Ansh Verma,22,Male,"43, Ben Path, Gorakhpur 650249",Bank Clerk,0,0.429
P-0255,Siya Kibe,37,Female,"79/25, Kothari Zila, Panchkula 950052",Businessman,1,0.789
P-0256,Edhitha Sura,33,Female,"57/30, Parmar Marg, Chandrapur-778487",Travel Agent,0,0.146
P-0257,Idika Pall,47,Female,"H.No. 98, Biswas Street, Hospet 485708",Farmer,0,0.113
P-0258,Hiral Bahl,38,Female,"H.No. 18, Gupta Marg, Suryapet 945651",Businessman,1,0.121
